estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
19745289,9582050,10163239,1159019,1154082,1144724,1247594,1386278,2886788,2460284,2708708,1342783,1224248,1715037,874198,441546,38.4,15565903,14759559,3734931,3030781,15565903,7446482,8119421,3030781,1293780,1737001,19745289,19128428,616861,19128428,12530463,3080534,73052,3581,899,720,423,1668036,368559,717443,113322,40329,128657,33050,266676,9236,2455,1227,1021,4533,1767107,616861,184411,58155,122837,17264,19745289,13006279,3389796,197369,1864781,30833,1928061,19745289,3747614,509432,1081110,70947,2086125,15997675,10962313,2829419,45228,1654883,6491,106193,393148,36184,356964,8232039,13702460,6513994,7188466,0400000US36,New York,2016,36
10146788,4933381,5213407,594593,644508,657271,688545,684686,1321286,1304270,1385796,674152,623090,944866,457145,166580,38.7,7849894,7422376,1937529,1568591,7849894,3756375,4093519,1568591,684988,883603,10146788,9877922,268866,9877922,6989065,2182212,120843,16307,1832,126,820,275428,91769,44651,17926,6247,18156,35544,61135,6081,2125,1640,362,1954,304293,268866,99800,40041,40802,24008,10146788,7210722,2337481,205112,336661,17209,333531,10146788,931110,535261,95915,28739,271195,9215678,6438334,2144650,108345,273281,5376,19620,226072,5751,220321,4540697,7418127,3529077,3889050,0400000US37,North Carolina,2016,37
757953,390181,367772,54898,49715,44828,48827,64670,116058,86296,87234,50726,44850,58910,32920,18021,35.0,583358,548001,136247,109851,583358,299206,284152,109851,49533,60318,757953,736365,21588,736365,660919,19250,41649,477,17445,541,10524,9200,790,1743,2179,342,551,989,2606,233,N,N,N,N,5114,21588,2225,10458,3500,228,757953,681403,22571,53166,13470,1887,8007,757953,26434,17736,3037,22,5639,731519,644710,18815,40676,9111,233,127,17847,149,17698,368545,570697,292569,278128,0400000US38,North Dakota,2016,38
11614373,5691600,5922773,692745,711735,740373,770170,777289,1500872,1380616,1546555,844210,764894,1080660,552480,251774,39.3,9005402,8537159,2325631,1884914,9005402,4359708,4645694,1884914,822082,1062832,11614373,11289941,324432,11289941,9476221,1443510,18081,4679,184,1145,449,239025,78506,51022,19036,10095,16851,16754,46761,4031,1417,584,1083,947,109073,324432,158100,47001,48976,12298,11614373,9769334,1644622,94297,305150,12117,137866,11614373,420081,189148,122204,11553,97176,11194292,9216496,1421393,15138,237401,3218,19951,280695,8097,272598,5164400,8785985,4243751,4542234,0400000US39,Ohio,2016,39
3923561,1943273,1980288,264096,271613,270570,265757,279889,536769,477591,480811,257144,231029,343384,178110,66798,36.4,2961605,2790483,723249,588292,2961605,1448149,1513456,588292,260969,327323,3923561,3619955,303606,3619955,2841467,287373,297948,114987,850,1135,732,79246,13047,11707,7050,2018,5703,21336,18385,6143,1435,516,453,3739,107778,303606,40183,194889,18489,16061,3923561,3120274,356787,523624,105872,12053,124081,3923561,403936,335695,11672,3436,53133,3519625,2595562,281976,283500,78185,5717,4059,270626,2386,268240,1721072,2821838,1373215,1448623,0400000US40,Oklahoma,2016,40
4093465,2026038,2067427,234582,241367,242789,251244,265531,573033,533772,514900,266668,280691,416647,183372,88869,39.2,3225219,3067818,859085,688888,3225219,1581932,1643287,688888,314742,374146,4093465,3885872,207593,3885872,3455810,79575,45426,3732,767,464,793,169459,23912,41388,19805,14662,11914,27171,30607,14823,5292,864,1193,7474,120779,207593,25373,85176,47216,809,4093465,3649771,116114,141215,235801,36313,139013,4093465,522568,425080,13065,5728,78695,3570897,3119464,75516,36097,167053,13830,5961,152976,3203,149773,1732887,3021486,1476827,1544659,0400000US41,Oregon,2016,41
12784227,6262870,6521357,709743,730999,757881,832809,830820,1674043,1481365,1737627,942174,865005,1239574,648670,333517,40.6,10109382,9578514,2731230,2221761,10109382,4892729,5216653,2221761,965024,1256737,12784227,12460473,323754,12460473,10340877,1407047,23556,3312,427,165,181,423180,136122,98972,25992,5220,40200,43087,73587,3417,1866,331,238,982,262396,323754,138620,41702,50616,15819,12784227,10618697,1599908,103259,493781,12659,307169,12784227,900002,159155,444263,22233,274351,11884225,9832127,1351705,13312,420202,2446,19352,245081,11714,233367,5611995,9740121,4704731,5035390,0400000US42,Pennsylvania,2016,42
1056426,511358,545068,54144,51504,64345,74014,78374,142792,123033,146633,78904,68628,97047,49267,27741,40.2,847786,794614,213829,174055,847786,404848,442938,174055,74550,99505,1056426,1023539,32887,1023539,850105,67526,5304,N,N,N,N,36875,7271,8140,2510,1258,1696,1521,14479,1437,N,N,N,N,62292,32887,10297,3374,3920,2663,1056426,873134,86467,15512,44090,3529,71037,1056426,157352,13115,38810,2839,102588,899074,768815,58523,2913,36176,1237,6210,25200,4138,21062,462598,787945,372926,415019,0400000US44,Rhode Island,2016,44
4961119,2405343,2555776,290012,309962,314620,330759,327290,646998,611528,643464,332488,323851,514813,228442,86892,39.1,3861155,3647551,1018947,830147,3861155,1843725,2017430,830147,367187,462960,4961119,4853023,108096,4853023,3342552,1337644,16010,2963,992,700,463,76870,15428,15117,16284,2679,7121,8756,11485,2561,669,858,416,618,77386,108096,47081,17077,16099,5625,4961119,3437291,1402857,45517,98824,5573,88354,4961119,272791,150962,32848,9263,79718,4688328,3161469,1328097,13805,75511,2179,12827,94440,1402,93038,2236262,3731331,1774596,1956735,0400000US45,South Carolina,2016,45
865454,435668,429786,60892,61712,58129,59375,59452,111536,98662,101899,60333,55895,77216,39802,20551,36.8,651553,612266,170828,137569,651553,324744,326809,137569,62165,75404,865454,843906,21548,843906,732939,14524,77378,296,80,145,65101,12953,1790,1813,859,481,648,1693,5669,218,N,N,N,N,5894,21548,4873,10595,1879,408,865454,753376,20501,89660,15830,1708,7531,865454,32227,20802,2142,757,8526,833227,713315,14332,73570,12901,151,280,18678,74,18604,383827,635373,315615,319758,0400000US46,South Dakota,2016,46
6651194,3247058,3404136,404168,414174,427162,430207,448285,886029,837897,893927,444547,419543,628370,307956,108929,38.6,5147942,4880142,1293021,1045255,5147942,2473357,2674585,1045255,460325,584930,6651194,6511344,139850,6511344,5177478,1114434,19053,5973,402,28,627,116375,30772,18675,12816,6316,12094,9198,26504,4798,1088,177,583,2950,79206,139850,57187,33235,19274,4652,6651194,5304196,1187342,62086,143549,9947,92283,6651194,347442,226943,31336,9879,79284,6303752,4929450,1105799,15049,115106,4732,8919,124697,3934,120763,2919698,4968677,2377932,2590745,0400000US47,Tennessee,2016,47
27862596,13830953,14031643,2006911,2031248,2051493,2005735,1991929,4061590,3748838,3500664,1668559,1442786,2011707,965638,375498,34.5,20570902,19357493,4185416,3352843,20570902,10107352,10463550,3352843,1488306,1864537,27862596,27147882,714714,27147882,20702709,3362283,135275,17013,945,3910,2912,1300300,376935,208156,130600,19282,69710,276609,219008,25228,7130,7894,4403,5801,1622087,714714,180303,148499,131791,27589,27862596,21310714,3642426,350974,1493998,51563,1777528,27862596,10883279,9427204,196460,90376,1169239,16979317,11843864,3270776,67038,1281698,20254,38404,457283,21710,435573,10754268,17841560,8699836,9141724,0400000US48,Texas,2016,48
3051217,1538145,1513072,253422,268655,252380,239732,253784,448034,410026,312852,153408,139434,190291,93391,35808,30.7,2129370,1991336,399594,319490,2129370,1063819,1065551,319490,147579,171911,3051217,2962173,89044,2962173,2633283,32800,31702,752,335,14497,1469,70150,12494,15455,4661,7836,7915,4994,16795,29463,2380,918,11091,15074,164775,89044,13651,15557,25904,706,3051217,2713804,51667,52223,104864,44861,180460,3051217,420440,302555,12211,2985,102689,2630777,2401230,30915,26769,69181,28870,3070,70742,2858,67884,1054242,1983374,989003,994371,0400000US49,Utah,2016,49
624594,307874,316720,30464,33080,33976,41770,45741,71885,70519,86724,49353,47482,68975,30413,14212,43.1,505910,473928,141406,113600,505910,246774,259136,113600,51633,61967,624594,612270,12324,612270,589379,7893,2177,N,N,N,N,9406,1486,2682,660,642,1334,535,2067,252,N,N,N,N,3163,12324,2024,4526,3540,444,624594,600733,11314,7972,13419,664,3789,624594,12546,3560,3526,1221,4239,612048,580616,7307,2113,9406,252,727,11627,347,11280,329539,494736,242185,252551,0400000US50,Vermont,2016,50
8411808,4135485,4276323,503782,523512,523673,562657,577011,1152326,1094657,1164976,572210,508959,737489,350850,139706,38.2,6544248,6182256,1518297,1228045,6544248,3180665,3363583,1228045,541718,686327,8411808,8101385,310423,8101385,5707035,1601868,23156,2329,591,244,654,532320,138909,77115,74295,11858,70946,60407,98790,8379,1816,4087,996,1480,228627,310423,103122,28670,78528,14778,8411808,5966699,1762171,86426,649343,21721,266541,8411808,760611,167948,102807,18281,471575,7651197,5235564,1575478,19718,527900,6769,23107,262661,10199,252462,3491185,6093779,2956909,3136870,0400000US51,Virginia,2016,51
7288000,3639726,3648274,449944,466175,442606,450777,481943,1074803,944034,951227,486384,461294,654584,293733,130496,37.7,5658939,5378695,1350738,1078813,5658939,2806590,2852349,1078813,491452,587361,7288000,6873864,414136,6873864,5516602,266977,94637,4569,1707,1889,2235,597215,106608,130273,99953,40339,64034,69963,86045,48182,4836,10672,16223,16451,350251,414136,81387,87335,120629,9509,7288000,5883913,394194,220683,768828,88387,393564,7288000,906451,739827,29805,9146,127673,6381549,5053546,254841,79382,591025,46683,10670,345402,4779,340623,3025802,5173515,2563659,2609856,0400000US53,Washington,2016,53
1831102,900913,930189,101668,102830,106744,112942,115161,216104,222599,243424,135761,130094,204039,97793,41943,42.3,1454219,1382584,420536,343775,1454219,709917,744302,343775,154814,188961,1831102,1799798,31304,1799798,1704195,69721,3851,1282,31,29,159,14133,3444,3714,2981,744,1193,348,1709,404,N,N,N,N,7494,31304,13769,7652,3925,184,1831102,1734107,86436,13504,20498,1515,9273,1831102,26783,12196,6062,1256,7269,1804319,1684936,68738,3734,13777,404,3361,29369,158,29211,886710,1438443,701149,737294,0400000US54,West Virginia,2016,54
5778709,2872921,2905788,334091,360129,365683,380691,404786,730022,685711,781660,429855,378820,529223,270063,127975,39.4,4493718,4251967,1148106,927261,4493718,2215906,2277812,927261,419230,508031,5778709,5638379,140330,5638379,4941688,361653,52608,947,18206,157,394,155252,28123,26869,8570,2643,10698,5212,73137,1534,444,241,396,453,125644,140330,51704,29406,24134,3354,5778709,5070065,428940,93580,186501,6098,144989,5778709,387015,273512,61901,6393,45209,5391694,4718160,355473,48653,154748,987,3230,110443,3265,107178,2668443,4351720,2138987,2212733,0400000US55,Wisconsin,2016,55
585501,298205,287296,37873,43974,37253,37465,38142,80974,72132,69086,39389,41630,53643,24089,9851,37.2,444641,419986,111611,87583,444641,226138,218503,87583,41283,46300,585501,570197,15304,570197,538819,5970,13194,N,N,N,N,6012,1464,1000,615,404,827,85,1617,420,N,N,N,N,5782,15304,3021,5360,2937,273,585501,552516,10544,20025,9999,1248,7949,585501,56264,43955,872,62,11375,529237,494078,5400,12328,5815,173,211,11232,543,10689,270625,433794,220950,212844,0400000US56,Wyoming,2016,56
3411307,1625567,1785740,159753,185471,211269,238225,244392,413129,440352,440533,220311,211987,365448,203732,76705,40.7,2715431,2563241,768638,645885,2715431,1266884,1448547,645885,280287,365598,3411307,3263452,147855,3263452,2278731,395069,8082,N,N,N,N,5691,3250,1505,65,206,63,0,602,193,N,N,N,N,575686,147855,115664,1497,1205,1355,3411307,2418354,527165,22359,8025,542,593471,3411307,3365841,10932,3263755,12457,78697,45466,36168,2517,225,2067,89,2251,2149,239,1910,1555880,2672253,1247296,1424957,0400000US72,Puerto Rico,2016,72
208563,100902,107661,10938,13516,13190,13478,10454,24663,23384,28689,14891,14739,24102,12609,3910,42.4,162608,154216,49785,40621,162608,77620,84988,40621,18755,21866,208563,203071,5492,203071,180484,18821,1383,N,N,N,N,914,N,N,N,N,N,N,N,0,N,N,N,N,1469,5492,913,1640,1874,375,208563,185425,20200,3489,2831,N,2025,208563,9211,N,N,N,N,199352,173065,18821,1052,914,0,393,5107,423,4684,110607,160961,76856,84105,0500000US01003,"Baldwin County, Alabama",2016,01003
114611,55491,59120,6073,7297,6896,8122,8005,14623,14083,14990,7457,8103,11229,5570,2163,39.1,89658,84395,24443,18962,89658,42513,47145,18962,8002,10960,114611,112513,2098,112513,84357,24160,803,N,N,N,N,1064,N,N,N,N,N,N,N,0,N,N,N,N,2129,2098,N,N,N,N,114611,86350,25043,1663,1362,N,2248,114611,4100,N,N,N,N,110511,83235,24124,197,1064,0,0,1891,0,1891,53337,87694,41809,45885,0500000US01015,"Calhoun County, Alabama",2016,01015
82471,40699,41772,4856,4650,5206,5069,5221,10351,10056,11146,5507,5325,9125,4692,1267,40.4,64471,61358,17760,15084,64471,31628,32843,15084,6666,8418,82471,82017,454,82017,79032,1052,633,N,N,N,N,763,N,N,N,N,N,N,N,0,N,N,N,N,537,454,N,N,N,N,82471,79415,1243,791,763,N,642,82471,3567,N,N,N,N,78904,76107,1052,633,763,0,0,349,0,349,37265,63745,31138,32607,0500000US01043,"Cullman County, Alabama",2016,01043
70900,34509,36391,3951,4220,5518,5587,3397,8571,9329,9552,4481,4430,7460,3560,844,39.8,53791,50606,14257,11864,53791,26115,27676,11864,4953,6911,70900,69344,1556,69344,62139,1087,862,N,N,N,N,74,N,N,N,N,N,N,N,87,N,N,N,N,5095,1556,N,N,N,N,70900,63695,1352,1946,N,N,5167,70900,10109,N,N,N,N,60791,57183,1051,862,74,87,50,1484,0,1484,31060,50353,24250,26103,0500000US01049,"DeKalb County, Alabama",2016,01049
81799,39956,41843,4284,5826,5481,4533,5451,11622,10823,11361,5945,4483,7416,2960,1614,38.3,63172,60367,13865,11990,63172,30090,33082,11990,5354,6636,81799,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,81799,61276,20088,N,900,N,N,81799,780,N,N,N,N,81019,60050,19718,0,446,0,0,805,0,805,33751,62725,29878,32847,0500000US01051,"Elmore County, Alabama",2016,01051
102564,49861,52703,5505,5900,6703,7137,6215,11409,12262,14527,8888,5333,11157,5544,1984,41.2,79902,75741,21608,18685,79902,38102,41800,18685,7996,10689,102564,101025,1539,101025,83159,16417,484,N,N,N,N,858,N,N,N,N,N,N,N,0,N,N,N,N,107,1539,N,N,N,N,102564,84634,17307,1067,988,N,N,102564,3894,N,N,N,N,98670,79978,15742,446,858,0,107,1539,0,1539,47541,77641,36838,40803,0500000US01055,"Etowah County, Alabama",2016,01055
104056,50015,54041,6221,6912,6867,6673,5914,13593,12681,13861,7748,6083,10210,5432,1861,39.5,79619,76305,20852,17503,79619,37213,42406,17503,7437,10066,104056,102128,1928,102128,71838,27762,443,N,N,N,N,1054,300,0,106,68,90,279,211,0,N,N,N,N,1031,1928,972,479,158,94,104056,73644,28884,1058,1262,N,1133,104056,3380,2169,369,212,630,100676,69582,27622,427,1054,0,213,1778,0,1778,46883,78411,36459,41952,0500000US01069,"Houston County, Alabama",2016,01069
659521,310913,348608,42831,42675,41278,40998,42627,95118,83165,83696,46027,41225,57279,29423,13179,38.0,507739,482044,123762,99881,507739,233963,273776,99881,40491,59390,659521,645100,14421,645100,340506,279979,1799,N,N,N,N,8366,2824,1404,847,161,725,1233,1172,323,N,N,N,N,14127,14421,3330,2245,3066,414,659521,350439,287587,5230,14896,892,15747,659521,24554,17145,1166,428,5815,634967,330573,279050,817,8366,323,1947,13891,1147,12744,308553,490376,224919,265457,0500000US01073,"Jefferson County, Alabama",2016,01073
92318,45121,47197,4944,4888,5052,6810,7304,10704,10779,11550,6579,6553,9784,5091,2280,41.6,73393,68201,20632,17155,73393,34631,38762,17155,7575,9580,92318,91140,1178,91140,80596,9513,132,N,N,N,N,720,N,N,N,N,N,N,N,60,N,N,N,N,119,1178,N,N,N,N,92318,81774,10430,359,754,N,119,92318,2374,N,N,N,N,89944,78261,9474,132,720,60,119,1178,0,1178,44577,72306,34007,38299,0500000US01077,"Lauderdale County, Alabama",2016,01077
158991,79257,79734,9170,10417,8797,13761,21850,23465,17921,19720,9102,7212,11038,4984,1554,31.0,124912,111780,21954,17576,124912,60909,64003,17576,7831,9745,158991,156692,2299,156692,111185,37968,0,N,N,N,N,6648,1439,1184,83,168,2727,600,447,63,N,N,N,N,828,2299,N,N,N,N,158991,113324,39216,870,6907,N,1088,158991,6000,3039,1016,298,1647,152991,106946,37190,0,6319,0,477,2059,160,1899,67173,119593,57529,62064,0500000US01081,"Lee County, Alabama",2016,01081
92753,47635,45118,4701,5407,6813,6970,4951,12571,12241,14044,6415,5197,8496,3112,1835,38.8,71433,68246,17347,13443,71433,35499,35934,13443,6021,7422,92753,91515,1238,91515,76272,14066,599,N,N,N,N,364,N,N,N,N,N,N,N,0,N,N,N,N,214,1238,N,N,N,N,92753,77510,14257,1344,N,N,214,92753,5361,N,N,N,N,87392,N,N,N,N,N,N,N,N,N,35769,69278,34516,34762,0500000US01083,"Limestone County, Alabama",2016,01083
356967,174569,182398,20121,23603,21283,23256,24816,48747,44813,50994,27223,20615,29597,15996,5903,38.8,278114,262698,64051,51496,278114,134123,143991,51496,22662,28834,356967,347118,9849,347118,243688,87415,2547,N,N,N,N,8383,1829,1477,1654,224,1031,607,1561,250,N,N,N,N,4835,9849,2554,2251,2578,75,356967,252877,91470,5806,12034,623,5427,356967,17212,9437,2888,489,4398,339755,231900,86952,2294,8383,250,886,9090,57,9033,159087,268097,128824,139273,0500000US01089,"Madison County, Alabama",2016,01089
95157,46338,48819,6254,6553,6529,6278,5153,12517,11469,12204,6539,5671,9461,5624,905,38.0,71657,68778,19555,15990,71657,34497,37160,15990,6831,9159,95157,94025,1132,94025,89605,2764,369,N,N,N,N,746,N,N,N,N,N,N,N,0,N,N,N,N,541,1132,N,N,N,N,95157,90737,2881,1178,797,N,707,95157,12818,7097,593,1347,3781,82339,77399,2764,369,746,0,0,1061,99,962,40344,68054,32713,35341,0500000US01095,"Marshall County, Alabama",2016,01095
414836,197818,217018,26896,26942,27095,27545,27817,57734,49476,52835,28339,26534,38279,18062,7282,37.4,316517,300748,80504,63623,316517,148518,167999,63623,27359,36264,414836,407604,7232,407604,243284,148001,3328,N,N,N,N,8269,813,1621,1186,198,469,804,3178,20,N,N,N,N,4702,7232,2302,1889,992,991,414836,249006,151979,6435,9657,N,5097,414836,11581,4378,3134,511,3558,403255,237276,147215,3328,8269,20,817,6330,41,6289,182640,311297,146153,165144,0500000US01097,"Mobile County, Alabama",2016,01097
226349,107250,119099,15417,16197,12193,15134,16351,33610,28374,28524,15254,13446,18468,9661,3720,36.4,173781,164525,39533,31849,173781,80390,93391,31849,13246,18603,226349,221648,4701,221648,81740,130006,339,N,N,N,N,5753,1049,455,33,55,2904,75,1182,36,N,N,N,N,3774,4701,1473,224,1345,104,226349,85823,132888,1458,7559,N,4024,226349,7571,4483,82,270,2736,218778,78434,129882,129,5753,36,176,4368,0,4368,104618,168086,77626,90460,0500000US01101,"Montgomery County, Alabama",2016,01101
119012,59211,59801,6751,8418,6649,8844,6138,13931,15726,16746,8615,7025,11920,5770,2479,40.7,91671,86797,24539,20169,91671,44531,47140,20169,8766,11403,119012,116315,2697,116315,93591,14431,763,N,N,N,N,1076,N,N,N,N,N,N,N,0,N,N,N,N,6454,2697,1419,1177,13,0,119012,96288,15850,1940,1089,N,6542,119012,9656,N,N,N,N,109356,90076,14384,763,1076,0,448,2609,0,2609,51677,88520,43065,45455,0500000US01103,"Morgan County, Alabama",2016,01103
88019,44199,43820,5325,5045,6223,4911,5110,11539,11032,13041,6208,5164,8459,4466,1496,40.3,67803,65559,18311,14421,67803,33347,34456,14421,6482,7939,88019,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,88019,77934,8988,788,849,N,N,88019,2099,N,N,N,N,85920,N,N,N,N,N,N,N,N,N,36014,66936,32860,34076,0500000US01115,"St. Clair County, Alabama",2016,01115
210622,101886,108736,12480,12687,16111,14256,11248,25994,31160,29997,13921,13096,18385,7935,3352,38.9,160071,153001,37084,29672,160071,76650,83421,29672,13150,16522,210622,206059,4563,206059,168484,24066,211,N,N,N,N,4535,N,N,N,N,N,N,N,197,N,N,N,N,8566,4563,2733,951,620,27,210622,172788,27058,1189,5155,N,8798,210622,12090,8941,646,431,2072,198532,164695,24066,211,4535,197,497,4331,0,4331,85377,154631,73971,80660,0500000US01117,"Shelby County, Alabama",2016,01117
80103,39813,40290,4178,6047,4174,5330,4241,9874,10184,11026,6043,5209,8319,4011,1467,40.8,62524,59621,17273,13797,62524,29767,32757,13797,6155,7642,80103,79679,424,79679,51823,26589,70,N,N,N,N,548,N,N,N,N,N,N,N,23,N,N,N,N,626,424,N,N,N,N,80103,52142,26758,327,609,N,626,80103,1758,N,N,N,N,78345,50449,26589,70,548,23,242,424,0,424,37203,61810,29200,32610,0500000US01121,"Talladega County, Alabama",2016,01121
206102,99017,107085,12376,12019,11870,17624,24216,31080,24939,22962,11752,11873,15511,6241,3639,32.9,162735,147768,32770,25391,162735,77059,85676,25391,10794,14597,206102,204487,1615,204487,132006,66183,34,N,N,N,N,3413,N,N,N,N,N,N,N,0,N,N,N,N,2851,1615,N,N,N,N,206102,133379,66552,1000,3674,156,2956,206102,7229,N,N,N,N,198873,127909,65974,34,3413,0,33,1510,0,1510,89748,157829,74733,83096,0500000US01125,"Tuscaloosa County, Alabama",2016,01125
64967,32091,32876,3958,4205,3470,4217,3670,7778,7530,8769,4952,3930,7444,3711,1333,41.8,50572,48516,14712,12488,50572,24123,26449,12488,5327,7161,64967,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,64967,61308,3687,2040,N,N,N,64967,1598,N,N,N,N,63369,N,N,N,N,N,N,N,N,N,30664,49898,23799,26099,0500000US01127,"Walker County, Alabama",2016,01127
298192,152882,145310,21661,20655,19468,19412,23467,52809,39268,36160,19589,16618,19287,6652,3146,33.0,224224,213118,38691,29085,224224,114143,110081,29085,13595,15490,298192,267605,30587,267605,184841,16102,23916,N,N,N,N,27142,504,1327,15085,1387,2735,381,5723,7669,218,540,6334,577,7935,30587,4841,13101,6717,741,298192,212806,23760,39078,36850,10133,9589,298192,26907,14235,3689,451,8532,271285,174472,14891,21923,26187,7669,768,25375,565,24810,115539,215168,110968,104200,0500000US02020,"Anchorage Municipality, Alaska",2016,02020
100605,55651,44954,7185,7662,6343,6410,11896,17886,11544,11327,6733,5013,6170,1999,437,30.6,76096,70981,11067,8606,76096,42328,33768,8606,4388,4218,100605,94048,6557,94048,75501,4385,7427,N,N,N,N,3875,N,N,N,N,N,N,N,503,N,N,N,N,2357,6557,1146,3058,966,0,100605,81898,6338,11273,5260,919,2594,100605,7949,N,N,N,N,92656,70475,4274,7377,3524,407,540,6059,169,5890,41565,73158,40870,32288,0500000US02090,"Fairbanks North Star Borough, Alaska",2016,02090
